2.6003,0.30674,4.2191,0.29848,4.1049,1
2.617,0.29164,4.4737,0.2879,4.416,1
2.6337,0.27653,4.6887,0.28347,4.8065,1
2.6503,0.25989,4.8153,0.27134,5.0279,1
2.667,0.2824,5.3102,0.27815,5.2309,1
2.6837,0.31701,5.6789,0.31082,5.5683,1
2.7004,0.35765,6.1339,0.35381,6.0681,1
2.7171,0.3829,6.3575,0.37391,6.2081,1
2.7338,0.41355,6.6939,0.40351,6.5312,1
2.7504,0.42734,6.789,0.43578,6.9225,1
2.7671,0.44088,6.9196,0.4505,7.0698,1
2.7838,0.46059,7.1878,0.44548,6.9511,1
2.8004,0.43928,6.8587,0.45488,7.1011,1
2.817,0.43547,6.8436,0.44592,7.0064,1
2.8336,0.43578,6.9324,0.43035,6.8446,1
2.8502,0.40564,6.5668,0.41055,6.6449,1
2.8668,0.39234,6.4954,0.3759,6.2218,1
2.8833,0.36354,6.1821,0.3511,5.9691,1
2.8998,0.32081,5.6251,0.33577,5.8859,1
2.9162,0.30137,5.4654,0.30115,5.4601,1
2.9326,0.26328,4.9498,0.26667,5.0123,1
2.949,0.23214,4.53,0.23324,4.5505,1
2.9653,0.20852,4.2478,0.20946,4.2663,1
2.9817,0.15094,3.8272,0.14994,3.8014,1
2.998,0.090496,3.3432,0.094146,3.4781,0
3.0143,0.077954,3.2565,0.078368,3.2739,0
3.0306,0.076646,3.2369,0.076833,3.2449,0
3.0469,0.07345,3.115,0.072887,3.0912,0
3.0632,0.073206,3.1122,0.074004,3.1462,0
3.0795,0.072105,3.0676,0.076609,3.2593,0
3.0958,0.07511,3.1925,0.076394,3.2472,0
3.1121,0.074169,3.1446,0.074553,3.161,0
3.1284,0.076651,3.2366,0.076832,3.2444,0
3.1448,0.076682,3.22,0.076272,3.2029,0
3.1611,0.074943,3.1251,0.076937,3.2084,0
3.1774,0.078404,3.2421,0.081468,3.369,0
3.1938,0.078768,3.2258,0.080779,3.3084,0
3.2101,0.081133,3.2866,0.08177,3.3126,0
3.2265,0.080807,3.2339,0.081742,3.2715,0
3.2428,0.079553,3.1417,0.08313,3.2833,0
3.2592,0.084547,3.2915,0.082797,3.2236,0
3.2756,0.084481,3.239,0.086074,3.3004,0
3.2919,0.089966,3.394,0.089089,3.3612,0
3.3083,0.087079,3.2297,0.088242,3.2731,0
3.3247,0.090665,3.3037,0.090121,3.2843,0
3.3411,0.091976,3.2908,0.095732,3.4256,0
3.3576,0.095073,3.3385,0.092973,3.2652,0
3.374,0.09569,3.2969,0.091338,3.1473,1
3.3904,0.094406,3.191,0.091907,3.107,1
3.4069,0.096257,3.1923,0.093312,3.0951,1
3.4233,0.09346,3.0424,0.091297,2.9724,1
3.4398,0.09491,3.035,0.091844,2.9374,1
3.4563,0.090003,2.8308,0.087709,2.759,1
3.4728,0.08568,2.6556,0.086932,2.6948,1
3.4893,0.081173,2.4865,0.082858,2.5385,0
3.5059,0.079468,2.4165,0.079337,2.4129,0
3.5224,0.07073,2.1478,0.072101,2.1898,0
3.539,0.077805,1.856,0.080526,1.921,0
3.5555,0.11525,1.6613,0.11191,1.6129,0
3.5721,0.10688,1.292,0.10935,1.3217,0
3.5886,0.091103,0.94022,0.094047,0.97051,0
3.6051,0.075929,0.59433,0.074168,0.5805,0
3.6216,0.060345,0.25613,0.06078,0.25797,0
3.638,0.052289,0.037309,0.052346,0.03735,0
3.6544,0.061973,0.29601,0.062878,0.30031,0
3.6708,0.071254,0.52843,0.072347,0.53651,0
3.6872,0.073183,0.68466,0.075267,0.7041,0
3.7036,0.076147,0.82968,0.076679,0.8354,0
3.7199,0.077716,0.94637,0.077039,0.93805,0
3.7362,0.074408,0.98698,0.07515,0.99673,0
3.7524,0.073227,1.0385,0.07713,1.0938,0
3.7687,0.06859,1.0236,0.072361,1.0798,0
3.7849,0.06935,1.0725,0.070409,1.0888,0
3.8011,0.061626,0.97119,0.059949,0.9447,0
3.8173,0.060335,0.94976,0.057916,0.91164,0
3.8334,0.054033,0.82863,0.05425,0.83192,0
3.8496,0.04949,0.71526,0.048595,0.70229,0
3.8657,0.045102,0.58693,0.045874,0.59696,0
3.8818,0.042524,0.46599,0.042276,0.46326,0
3.8979,0.040703,0.33688,0.039839,0.32972,0
3.9139,0.039132,0.19683,0.037742,0.18984,0
3.93,0.025538,0.047474,0.026533,0.049323,0
3.946,-0.019705,0.093455,-0.018937,0.089813,0
3.962,-0.033204,0.19512,-0.031991,0.18799,0
3.9781,-0.031142,0.11542,-0.031559,0.11696,0
3.9941,-0.031912,0.00037294,-0.030571,0.00035726,0
4.0102,-0.030758,0.1149,-0.032007,0.11957,0
4.0263,-0.030416,0.22965,-0.031335,0.23659,0
4.0424,-0.030902,0.35931,-0.029737,0.34577,0
4.0586,-0.029323,0.47421,-0.029177,0.47184,0
4.0747,-0.028762,0.61722,-0.028255,0.60632,0
4.0909,-0.027565,0.76989,-0.026238,0.73279,0
4.107,-0.023992,0.87168,-0.024661,0.89592,0
4.1232,-0.022602,1.086,-0.022885,1.0995,0
4.1395,-0.019225,1.2712,-0.01912,1.2641,0
4.1557,-0.014914,1.4733,-0.015375,1.5183,0
4.1719,-0.0097679,1.742,-0.009899,1.7644,0
4.1882,-0.0029159,2.0378,-0.0028678,1.9992,0
4.2045,0.0057382,2.2853,0.0059307,2.3658,0
4.2208,0.017447,2.7721,0.016718,2.6583,0
4.2372,0.031833,3.1921,0.031931,3.2037,0
4.2535,0.049813,3.6644,0.049392,3.6351,0
4.2699,0.071689,4.1693,0.072086,4.1942,1
4.2863,0.10223,4.9149,0.099874,4.8034,1
4.3028,0.1431,5.8562,0.14077,5.7631,1
4.3193,0.19029,6.7679,0.18453,6.5657,1
4.3358,0.25153,7.8963,0.24399,7.6624,1
4.3523,0.32848,9.2128,0.31586,8.8622,1
4.3689,0.41952,10.615,0.42858,10.849,1
4.3855,0.5507,12.677,0.53437,12.305,1
4.4022,0.71471,15.076,0.72174,15.229,1
4.4189,0.94902,18.465,0.93754,18.248,1
4.4356,1.2044,21.752,1.2524,22.626,1
4.4524,1.732,29.15,1.6084,27.077,1
4.4692,2.3465,35.505,2.2581,34.162,1
4.486,3.5974,48.52,3.4504,46.504,1
4.5027,4.6281,61.427,4.7358,62.807,1
4.5193,5.602,82.432,5.7193,84.09,1
4.5358,7.4384,125.7,7.1802,121.25,1
4.5522,11.397,228.99,10.826,217.35,1
4.5685,264.5,6595.4,154.83,3859.1,1
4.5848,6.1727,192.85,6.1761,192.83,1
4.6009,1.8495,75.497,1.8214,74.306,1
4.617,0.63581,34.959,0.6384,35.086,1
4.633,0.1783,9.9578,0.18178,10.15,0
4.649,0.096176,8.4995,0.096368,8.5164,0
4.6649,-0.093832,27.486,-0.092841,27.215,1
4.6808,-0.55847,52.026,-0.55687,51.895,1
4.6966,-1.5965,98.497,-1.5863,97.904,1
4.7124,-4.9256,239.51,-4.9175,239.22,1
